station_id,name,longitude,latitude,coverage_date_start,coverage_date_end,historic_meltout_day,historic_meltout_date,historic_meltout_year,current_meltout_date,current_meltout_day,latest_data_date,latest_data_value,latest_data_percent_median,updated_at
1058,Grayback,-106.5379,37.47051,2004-09-01 00:00,2100-01-01 00:00,196,April 13,2018,March 25,177,April 07,0.1,,2026-04-07 10:17:52
505,Grizzly Peak,-105.8694,39.64646,1979-10-01 00:00,2100-01-01 00:00,216,May 03,2002,,,April 07,7.0,0.40462427745664736,2026-04-07 10:17:53
1102,Hayden Pass,-105.85027,38.29303,2007-08-28 00:00,2100-01-01 00:00,190,April 07,2026,March 30,182,April 07,0.0,0.0,2026-04-07 10:17:53
1187,High Lonesome,-105.75472,40.0359,2011-07-28 00:00,2100-01-01 00:00,246,June 02,2018,,,April 07,9.0,,2026-04-07 10:17:54
531,Hoosier Pass,-106.05999,39.36092,1979-10-01 00:00,2100-01-01 00:00,211,April 28,1981,,,April 07,6.8,0.4358974358974359,2026-04-07 10:17:54
542,Independence Pass,-106.61154,39.07543,1979-10-01 00:00,2100-01-01 00:00,217,May 04,2012,,,April 07,6.1,0.3765432098765432,2026-04-07 10:17:55
547,Ivanhoe,-106.54907,39.29228,1991-10-01 00:00,2100-01-01 00:00,225,May 12,2002,,,April 07,7.8,0.5416666666666666,2026-04-07 10:17:55
935,Jackwhacker Gulch,-105.80355,39.57096,1998-08-01 00:00,2100-01-01 00:00,218,May 05,2012,,,April 07,3.5,0.282258064516129,2026-04-07 10:17:56
551,Joe Wright,-105.88747,40.53285,1978-10-01 00:00,2100-01-01 00:00,228,May 15,2012,,,April 07,6.2,0.303921568627451,2026-04-07 10:17:56
970,Jones Pass,-105.90655,39.7645,1999-09-30 00:00,2100-01-01 00:00,219,May 06,2012,April 07,190,April 07,0.0,0.0,2026-04-07 10:17:57
564,Lake Eldora,-105.59031,39.93659,1978-10-01 00:00,2100-01-01 00:00,195,April 12,2012,April 03,186,April 07,0.0,0.0,2026-04-07 10:17:57
565,Lake Irene,-105.81941,40.41446,1978-10-01 00:00,2100-01-01 00:00,228,May 15,2012,,,April 07,10.6,0.452991452991453,2026-04-07 10:17:58
580,Lily Pond,-106.54823,37.38028,1979-10-01 00:00,2100-01-01 00:00,195,April 12,2025,March 21,173,April 07,0.4,0.03225806451612903,2026-04-07 10:17:58
1123,Long Draw Resv,-105.7654,40.51154,2008-10-16 00:00,2100-01-01 00:00,219,May 06,2012,,,April 07,7.3,0.40782122905027934,2026-04-07 10:17:59
940,Lost Dog,-106.74833,40.81557,1998-08-01 00:00,2100-01-01 00:00,219,May 06,2012,,,April 07,7.8,0.33333333333333337,2026-04-07 10:18:00
602,Loveland Basin,-105.90264,39.67428,1991-10-01 00:00,2100-01-01 00:00,231,May 18,2002,,,April 07,11.6,0.6041666666666666,2026-04-07 10:18:00
618,Mc Clure Pass,-107.28834,39.12899,1979-10-01 00:00,2100-01-01 00:00,198,April 15,2015,March 27,179,April 07,0.2,0.012987012987012988,2026-04-07 10:18:01
622,Mesa Lakes,-108.05756,39.05738,1985-10-01 00:00,2100-01-01 00:00,215,May 02,2002,,,April 07,2.4,0.13636363636363635,2026-04-07 10:18:03
624,Middle Creek,-107.03932,37.61779,1979-10-01 00:00,2100-01-01 00:00,205,April 22,2002,,,April 07,6.5,0.3494623655913978,2026-04-07 10:18:03
1031,Never Summer,-105.95567,40.40392,2002-09-01 00:00,2100-01-01 00:00,246,June 02,2012,,,April 07,13.1,0.6421568627450981,2026-04-07 10:18:05
663,Niwot,-105.5452,40.03581,1979-10-01 00:00,2100-01-01 00:00,214,May 01,2002,,,April 07,2.6,0.21311475409836067,2026-04-07 10:18:06
669,North Lost Trail,-107.14388,39.07818,1984-10-01 00:00,2100-01-01 00:00,199,April 16,2002,,,April 07,2.2,0.13253012048192772,2026-04-07 10:18:06
682,Park Reservoir,-107.87951,39.04433,1978-10-01 00:00,2100-01-01 00:00,235,May 22,2012,,,April 07,12.1,0.4820717131474103,2026-04-07 10:18:07
709,Rabbit Ears,-106.74118,40.36735,1985-10-01 00:00,2100-01-01 00:00,222,May 09,2012,,,April 07,5.4,0.21774193548387097,2026-04-07 10:18:09
713,Red Mountain Pass,-107.71389,37.89168,1979-10-01 00:00,2100-01-01 00:00,229,May 16,2002,,,April 07,6.2,0.2627118644067796,2026-04-07 10:18:10
717,Ripple Creek,-107.29383,40.10844,1985-10-01 00:00,2100-01-01 00:00,231,May 18,2012,,,April 07,11.9,0.4559386973180076,2026-04-07 10:18:10
718,Roach,-106.04675,40.87498,1979-10-01 00:00,2100-01-01 00:00,225,May 12,1981,,,April 07,5.2,0.33986928104575165,2026-04-07 10:18:10
939,Rough And Tumble,-106.08063,39.02611,1998-08-10 00:00,2100-01-01 00:00,211,April 28,2002,,,April 07,0.4,0.06557377049180328,2026-04-07 10:18:11
737,Schofield Pass,-107.04933,39.01467,1984-10-01 00:00,2100-01-01 00:00,225,May 12,2012,,,April 07,13.5,0.4383116883116883,2026-04-07 10:18:13
1060,Sharkstooth,-108.11405,37.50356,2004-10-01 00:00,2100-01-01 00:00,216,May 03,2025,March 30,182,April 07,1.8,0.10344827586206898,2026-04-07 10:18:14
762,Slumgullion,-107.20392,37.99076,1979-10-01 00:00,2100-01-01 00:00,220,May 07,1981,March 31,183,April 07,0.4,0.028169014084507046,2026-04-07 10:18:14
773,South Colony,-105.53671,37.96647,1990-10-01 00:00,2100-01-01 00:00,225,May 12,2018,,,April 07,4.6,0.25555555555555554,2026-04-07 10:18:14
780,Spud Mountain,-107.77841,37.69883,1985-10-01 00:00,2100-01-01 00:00,202,April 19,2002,March 29,181,April 07,2.2,0.09734513274336283,2026-04-07 10:18:15
797,Stump Lakes,-107.63348,37.47647,1985-10-01 00:00,2100-01-01 00:00,219,May 06,2002,,,April 07,4.3,0.2529411764705882,2026-04-07 10:18:16
802,Summit Ranch,-106.1577,39.71803,1979-10-01 00:00,2100-01-01 00:00,192,April 09,2012,March 27,179,April 07,0.0,0.0,2026-04-07 10:18:16
825,Tower,-106.67655,40.5374,1978-10-01 00:00,2100-01-01 00:00,253,June 09,2002,,,April 07,24.0,0.5542725173210162,2026-04-07 10:18:16
827,Trapper Lake,-107.23618,39.99881,1985-10-01 00:00,2100-01-01 00:00,198,April 15,2017,,,April 07,0.3,,2026-04-07 10:18:17
838,University Camp,-105.57562,40.03307,1978-10-01 00:00,2100-01-01 00:00,247,June 03,1981,,,April 07,8.9,0.55625,2026-04-07 10:18:18
840,Upper San Juan,-106.83528,37.48563,1978-10-01 00:00,2100-01-01 00:00,205,April 22,2002,,,April 07,3.6,0.13090909090909092,2026-04-07 10:18:19
1141,Upper Taylor,-106.74504,38.99071,2009-08-26 00:00,2100-01-01 00:00,193,April 10,2012,March 30,182,April 07,0.8,0.05925925925925926,2026-04-07 10:18:19
842,Vail Mountain,-106.38019,39.61765,1978-10-01 00:00,2100-01-01 00:00,210,April 27,2012,March 31,183,April 07,0.2,0.010582010582010583,2026-04-07 10:18:20
843,Vallecito,-107.50748,37.48524,1985-10-01 00:00,2100-01-01 00:00,192,April 09,2002,,,April 07,1.3,0.0896551724137931,2026-04-07 10:18:20
1188,Wager Gulch,-107.36428,37.88248,2011-07-28 00:00,2100-01-01 00:00,200,April 17,2012,March 29,181,April 07,0.3,,2026-04-07 10:18:21
1160,Weminuche Creek,-107.32139,37.51968,2010-10-01 00:00,2100-01-01 00:00,201,April 18,2025,March 27,179,April 07,0.0,0.0,2026-04-07 10:18:21
1042,Wild Basin,-105.6025,40.201,2002-12-13 00:00,2100-01-01 00:00,227,May 14,2012,,,April 07,7.0,0.45161290322580644,2026-04-07 10:18:22
869,Willow Creek Pass,-106.0952,40.34734,1978-10-01 00:00,2100-01-01 00:00,221,May 08,1981,,,April 07,7.5,0.5681818181818182,2026-04-07 10:18:22
870,Willow Park,-105.73588,40.43397,1979-10-01 00:00,2100-01-01 00:00,217,May 04,2012,,,April 07,7.3,0.4195402298850575,2026-04-07 10:18:23
874,Wolf Creek Summit,-106.80234,37.47903,1985-10-01 00:00,2100-01-01 00:00,230,May 17,2018,,,April 07,11.2,0.3720930232558139,2026-04-07 10:18:23
1033,Zirkel,-106.59544,40.79492,2002-08-14 00:00,2100-01-01 00:00,212,April 29,2012,,,April 07,5.1,0.18149466192170816,2026-04-07 10:18:23
